real_project,p_typo,typosquat,namesquat,harmful,mal_code_file
h5py,hapy,True,False,False,
h5py,hypy,True,False,False,
h5py,h3py,True,False,False,
h5py,hppy,True,False,False,
py4j,py4s,True,False,False,
py4j,pyj,True,False,False,
multidict,multidiff,True,False,False,
multidict,multidoc,True,False,False,
tensorflow-serving-api,tensorflowservingapi,True,False,False,
tensorflow-transform,tensorflowtransform,True,False,False,
google-cloud-logging,googlecloudlogging,True,False,False,
oauth2client,oauthclient,True,False,False,
gitdb,gitnb,True,False,False,
gitdb,gitdh,True,False,False,
gitdb,getdb,True,False,False,
azure-core,azurecore,True,False,False,
azure-core,azuremlcore,True,False,False,
tfx-bsl,tfxbsl,True,False,False,
adal,kadal,True,False,False,
adal,dal,True,False,False,
requests-toolbelt,requeststoolbelt,True,False,False,
dill,dila,True,False,False,
psycopg2,psycopgda,True,False,False,
pymongo,ipymongo,True,False,False,
pymongo,ppmongo,True,False,False,
pymongo,cymongo,True,False,False,
pymongo,pymono,True,False,False,
mako,mak,True,False,False,
mako,pako,True,False,False,
mako,maro,True,False,False,
mako,hmako,True,False,False,
mako,mayo,True,False,False,
mako,maki,True,False,False,
mako,tako,True,False,False,
mako,makuo,True,False,False,
mako,mapo,True,False,False,
jedi,edi,True,False,False,
jedi,tedi,True,False,False,
jedi,nedi,True,False,False,
jedi,jeni,True,False,False,
jedi,gedi,True,False,False,
jedi,jadi,True,False,False,
pathlib2,patalib,True,False,False,
pathlib2,pathlims,True,False,False,
pathlib2,athlib,True,False,False,
networkx,network,True,False,False,
networkx,networkml,True,False,False,
networkx,networks,True,False,False,
networkx,networkl,True,False,False,
networkx,tnetwork,True,False,False,
distro,distry,True,False,False,
distro,distri,True,False,False,
parso,parst,True,False,False,
msgpack,umsgpack,True,False,False,
importlib-resources,importlibresources,True,False,False,
pytest-cov,pytest-doc,True,False,False,
pytest-cov,pytestcsv,True,False,False,
pytest-cov,pytest-poo,True,False,False,
pytest-cov,pytest-oot,True,False,False,
pytest-cov,pytestcov,True,False,False,
cython,rython,True,False,False,
cython,cwthon,True,False,False,
cython,qython,True,False,False,
pandas-gbq,pandas-bj,True,False,False,
pandas-gbq,pandasgbq,True,False,False,
gast,gist,True,False,False,
gast,gust,True,False,False,
gast,gasp,True,False,False,
gast,iast,True,False,False,
gast,cast,True,False,False,
gast,gst,True,False,False,
gast,gas,True,False,False,
gast,gant,True,False,False,
gast,gash,True,False,False,
gast,gatt,True,False,False,
pydata-google-auth,pydatagoogleauth,True,False,False,
tensorflow-data-validation,tensorflowdatavalidation,True,False,False,
tensorflow-model-analysis,tensorflowmodelanalysis,True,False,False,
pylint,pylist,True,False,False,
pylint,pyrint,True,False,False,
pylint,pyling,True,False,False,
backports-abc,backportsabc,True,False,False,
backports-abc,backports_abc,True,False,False,
atomicwrites,atomicwrite,True,False,False,
keras-preprocessing,keraspreprocessing,True,False,False,
django,tjango,True,False,False,
django,djangox,True,False,False,
django,xdjango,True,False,False,
django,djangoq,True,False,False,
django,djangy,True,False,False,
django,dj-ango,True,False,False,
django,tdjango,True,False,False,
django,dojango,True,False,False,
django,ajango,True,False,False,
python-editor,pythoneditor,True,False,False,
babel,babex,True,False,False,
babel,label,True,False,False,
babel,bayel,True,False,False,
babel,bagel,True,False,False,
yarl,yajl,True,False,False,
yarl,yard,True,False,False,
yarl,yaul,True,False,False,
yarl,yarb,True,False,False,
yarl,yaro,True,False,False,
yarl,earl,True,False,False,
yarl,yarp,True,False,False,
yarl,carl,True,False,False,
yarl,yaxl,True,False,False,
yarl,yapl,True,False,False,
aiohttp,aio.http,True,False,False,
ordereddict,cyordereddict,True,False,False,
azure-storage-common,azurestoragecommon,True,False,False,
pymysql,pymysql2,True,False,False,
async-timeout,asynctimeout,True,False,False,
nltk,mltk,True,False,False,
nltk,jnltk,True,False,False,
nltk,nlpk,True,False,False,
nltk,dltk,True,False,False,
nltk,altk,True,False,False,
nltk,lltk,True,False,False,
dnspython,dyn-python,True,False,False,
dnspython,bspython,True,False,False,
dnspython,dtwpython,True,False,False,
dnspython,dwapython,True,False,False,
dnspython,datpython,True,False,False,
dnspython,nspython,True,False,False,
dnspython,ns1python,True,False,False,
dnspython,dcpython,True,False,False,
dnspython,ans-python,True,False,False,
dnspython,dbuspython,True,False,False,
ruamel-yaml,ruamelyaml,True,False,False,
google-pasta,googlepasta,True,False,False,
xmltodict,xmldict,True,False,False,
xmltodict,xml2dict,True,False,False,
keras-applications,kerasapplications,True,False,False,
datadog,datadoc,True,False,False,
datadog,datahog,True,False,False,
greenlet,greenev,True,False,False,
greenlet,greennet,True,False,False,
greenlet,greenet,True,False,False,
greenlet,greenart,True,False,False,
greenlet,greentea,True,False,False,
ruamel-yaml-clib,ruamelyamlclib,True,False,False,
xlsxwriter,xls-writer,True,False,False,
xlsxwriter,cpxlsxwriter,True,False,False,
elasticsearch,elasticsearch10,True,False,False,
elasticsearch,elasticsearch1,True,False,False,
elasticsearch,elasticsearch9,True,False,False,
elasticsearch,elasticsearch8,True,False,False,
databricks-cli,databrickscli,True,False,False,
s3fs,s3ts,True,False,False,
pytest-runner,pytestrunner,True,False,False,
astor,aster,True,False,False,
pycrypto,pyscrypt,True,False,False,
pycrypto,pycryptoms,True,False,False,
pycrypto,sscrypto,True,False,False,
pycrypto,fcrypto,True,False,False,
pycrypto,recrypto,True,False,False,
pycrypto,pycryptokg,True,False,False,
pycrypto,pkcrypt,True,False,False,
pycrypto,xscrypto,True,False,False,
pycrypto,xcrypto,True,False,False,
pycrypto,pybcrypt,True,False,False,
pycrypto,ezcrypto,True,False,False,
websockets,esockets,True,False,False,
websockets,djwebsockets,True,False,False,
websockets,websocket,True,False,False,
websockets,uwebsockets,True,False,False,
mypy,mcpy,True,False,False,
mypy,rypy,True,False,False,
mypy,mypc,True,False,False,
mypy,mmpy,True,False,False,
mypy,cypy,True,False,False,
mypy,typy,True,False,False,
mypy,hypy,True,False,False,
mypy,mdpy,True,False,False,
mypy,ypy,True,False,False,
mypy,mvpy,True,False,False,
mypy,mypi,True,False,False,
mypy,myppy,True,False,False,
mypy,mipy,True,False,False,
mypy,mspy,True,False,False,
cached-property,cachedproperty,True,False,False,
jsonpickle,jsonpickler,True,False,False,
azure-nspkg,azurenspkg,True,False,False,
gevent,getent,True,False,False,
gevent,event,True,False,False,
black,blck,True,False,False,
black,slack,True,False,False,
black,clack,True,False,False,
black,block,True,False,False,
text-unidecode,textunidecode,True,False,False,
oscrypto,sscrypto,True,False,False,
oscrypto,fcrypto,True,False,False,
oscrypto,recrypto,True,False,False,
oscrypto,xscrypto,True,False,False,
oscrypto,xcrypto,True,False,False,
oscrypto,ezcrypto,True,False,False,
et-xmlfile,etxmlfile,True,False,False,
et-xmlfile,et_xmlfile,True,False,False,
plotly,mplotly,True,False,False,
sentry-sdk,sentrysdk,True,False,False,
sentry-sdk,centrysdk,True,False,False,
ply,plyr,True,False,False,
ply,pls,True,False,False,
ply,plc,True,False,False,
ply,plyj,True,False,False,
ply,mly,True,False,False,
ply,pll,True,False,False,
ply,pyy,True,False,False,
ply,oply,True,False,False,
ply,play,True,False,False,
ply,plz,True,False,False,
ply,ly,True,False,False,
selenium,netlenium,True,False,False,
selenium,sgselenium,True,False,False,
selenium,seleniumpm,True,False,False,
selenium,selenic,True,False,False,
bs4,bsg,True,False,False,
bs4,bsv,True,False,False,
bs4,bsc,True,False,False,
bs4,b64,True,False,False,
opt-einsum,opteinsum,True,False,False,
snowflake-connector-python,snowflakeconnectorpython,True,False,False,
mypy-extensions,mypyextensions,True,False,False,
nose,jose,True,False,False,
nose,nosk,True,False,False,
nose,nosy,True,False,False,
nose,noise,True,False,False,
nose,note,True,False,False,
nose,rose,True,False,False,
nose,hose,True,False,False,
nose,fose,True,False,False,
nose,nope,True,False,False,
toolz,tool,True,False,False,
toolz,rtoolz,True,False,False,
setuptools-scm,setuptoolsscm,True,False,False,
setuptools-scm,setuptools-ci,True,False,False,
python-dotenv,pythondotenv,True,False,False,
unidecode,dmidecode,True,False,False,
ijson,bjson,True,False,False,
ijson,ejson,True,False,False,
ijson,injson,True,False,False,
ijson,ojson,True,False,False,
ijson,rjson,True,False,False,
ijson,pjson,True,False,False,
ijson,mjson,True,False,False,
amqp,zamqp,True,False,False,
amqp,amp,True,False,False,
html5lib,htmlib,True,False,False,
azure-mgmt-resource,azuremgmtresource,True,False,False,
querystring-parser,querystringparser,True,False,False,
sklearn,klearn,True,False,False,
sklearn,fklearn,True,False,False,
mlflow,mflow,True,False,False,
mlflow,dlflow,True,False,False,
thrift,thriftr,True,False,False,
functools32,functoolsex,True,False,False,
functools32,functools,True,True,False,
keras,keres,True,False,False,
keras,keris,True,False,False,
secretstorage,secret-storage,True,False,False,
opencv-python,openbci-python,True,False,False,
opencv-python,opencc-python,True,False,False,
opencv-python,opencvpython,True,False,False,
readme-renderer,readmerenderer,True,False,False,
djangorestframework,django-restframework,True,False,False,
djangorestframework,django-rest-framework,True,False,False,
mozlog,mlzlog,True,False,False,
lockfile,log-file,True,False,False,
lockfile,zclockfile,True,False,False,
lockfile,yglockfile,True,False,False,
lockfile,lnkfile,True,False,False,
imagesize,imgsize,True,False,False,
imagesize,imagelite,True,False,False,
alabaster,allabaster,True,False,False,
mozrunner,mcrunner,True,False,False,
mozrunner,comrunner,True,False,False,
gorilla,gorille,True,False,False,
gorilla,gorella,True,False,False,
gorilla,gorillaz,True,False,False,
arrow,harrow,True,False,False,
virtualenv-clone,virtualenvclone,True,False,False,
graphviz,graphmin,True,False,False,
graphviz,graphit,True,False,False,
graphviz,graphlib,True,False,False,
graphviz,graphgit,True,False,False,
google-cloud-pubsub,googlecloudpubsub,True,False,False,
python-jose,python-eos,True,False,False,
python-jose,python-fse,True,False,False,
python-jose,python-node,True,False,False,
python-jose,pythonjose,True,False,False,
python-jose,python-wise,True,False,False,
python-jose,python-qosf,True,False,False,
shapely,sharely,True,False,False,
tox,tex,True,False,False,
tox,ctox,True,False,False,
tox,tow,True,False,False,
tox,to,True,False,False,
tox,fox,True,False,False,
tox,mox,True,False,False,
tox,tx,True,False,False,
tox,tor,True,False,False,
tox,toc,True,False,False,
tox,tlx,True,False,False,
tox,ox,True,False,False,
tox,tbox,True,False,False,
tox,tod,True,False,False,
pytest-mock,pytestmock,True,False,False,
pytest-mock,pytest-doc,True,False,False,
pytest-mock,pytest-moto,True,False,False,
azure-mgmt-storage,azuremgmtstorage,True,False,False,
vine,vins,True,False,False,
vine,vane,True,False,False,
vine,vipe,True,False,False,
vine,sine,True,False,False,
vine,line,True,False,False,
vine,vibe,True,False,False,
